date,close,index
2010-01-04,30.351511001586914,EEM (Emerging Markets)
2010-01-05,30.57181167602539,EEM (Emerging Markets)
2010-01-06,30.63576889038086,EEM (Emerging Markets)
2010-01-07,30.45810317993164,EEM (Emerging Markets)
2010-01-08,30.699724197387695,EEM (Emerging Markets)
2010-01-11,30.63576889038086,EEM (Emerging Markets)
2010-01-12,30.145414352416992,EEM (Emerging Markets)
2010-01-13,30.237804412841797,EEM (Emerging Markets)
2010-01-14,30.15963363647461,EEM (Emerging Markets)
2010-01-15,29.811420440673828,EEM (Emerging Markets)
2010-01-19,30.41547203063965,EEM (Emerging Markets)
2010-01-20,29.683507919311523,EEM (Emerging Markets)
2010-01-21,28.788095474243164,EEM (Emerging Markets)
2010-01-22,28.148515701293945,EEM (Emerging Markets)
2010-01-25,28.35460662841797,EEM (Emerging Markets)
2010-01-26,27.76477813720703,EEM (Emerging Markets)
2010-01-27,27.693714141845703,EEM (Emerging Markets)
2010-01-28,27.501840591430664,EEM (Emerging Markets)
2010-01-29,27.203369140625,EEM (Emerging Markets)
2010-02-01,27.935333251953125,EEM (Emerging Markets)
2010-02-02,28.16273307800293,EEM (Emerging Markets)
2010-02-03,27.999286651611328,EEM (Emerging Markets)
2010-02-04,26.734344482421875,EEM (Emerging Markets)
2010-02-05,26.435871124267578,EEM (Emerging Markets)
2010-02-08,26.17293930053711,EEM (Emerging Markets)
2010-02-09,27.025705337524414,EEM (Emerging Markets)
2010-02-10,26.95464324951172,EEM (Emerging Markets)
2010-02-11,27.66529083251953,EEM (Emerging Markets)
2010-02-12,27.317066192626953,EEM (Emerging Markets)
2010-02-16,28.020606994628906,EEM (Emerging Markets)
2010-02-17,28.120092391967773,EEM (Emerging Markets)
2010-02-18,28.226694107055664,EEM (Emerging Markets)
2010-02-19,27.985071182250977,EEM (Emerging Markets)
2010-02-22,28.020606994628906,EEM (Emerging Markets)
2010-02-23,27.373918533325195,EEM (Emerging Markets)
2010-02-24,27.636856079101562,EEM (Emerging Markets)
2010-02-25,27.40945816040039,EEM (Emerging Markets)
2010-02-26,27.68661117553711,EEM (Emerging Markets)
2010-03-01,28.155635833740234,EEM (Emerging Markets)
2010-03-02,28.475419998168945,EEM (Emerging Markets)
2010-03-03,28.510950088500977,EEM (Emerging Markets)
2010-03-04,28.36170196533203,EEM (Emerging Markets)
2010-03-05,29.100772857666016,EEM (Emerging Markets)
2010-03-08,29.122089385986328,EEM (Emerging Markets)
